strain	date	country	state	division	location	host	host_categories	clade_membership	strains	lineages	accessions	organization	DataSource	authors	journal	title	url	latitude	longitude	parent_id	parsimony	usher_annotation	autolin_proposal	lineage_name	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Level_7	Level_8
KX547196	2013-09-17	USA	NY	NY/Nassau	USA	Culex	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KX547196	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547196	40.6546	-73.5594	node_2146	5	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.3	I.a.4-NY99.WN02.1.4.3	I.a.4-NY99.WN02.1.4.3	I.a.4-NY99.WN02.1.4.3
WNV0000199	2023-08-15	USA	NYC	NYC/Claremont Village	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	WNV0000199-NYC-VH00422-231206	NYC_PHL	NYC_PHL	NYC-PHL	Unpublished	NYC PHL West Nile Virus Sequencing Project	https://www.nyc.gov/site/doh/index.page	40.82988498	-73.90812184	node_2292	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99.WN02.3.1.6	I.a.4-NY99.WN02.3.1.6
HM488118	2005-XX-XX	USA	CT	CT/Fairfield	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	HM488118	Broad Institute of MIT and Harvard	NS_NA_NCBI	Armstrong et al	"Virology 417 (1), 203-210 (2011)"	"Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008"	https://www.ncbi.nlm.nih.gov/pubmed/21723580	41.1408363	-73.2612615	node_4467	2	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.15	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.15	I.a.4-NY99.WN02.15	I.a.4-NY99.WN02.15	I.a.4-NY99.WN02.15	I.a.4-NY99.WN02.15	I.a.4-NY99.WN02.15
MH819469	2006-08-29	CAN	Quebec	Quebec/Quebec	Global	Aedes vexans	Mosquitoes-Aedes	Ia	WN02	I.a.4-NY99.WN02	MH819469.1	Laboratoire de sante publique du Quebec Bacteriologie	NCBI_Global	Therrien et al	Virology (2019) In press	"Phylogenetic analysis of West Nile virus in Quebec, Canada, 2004-2016: Co-circulation of distinct variants harbouring conserved amino acid motifs in North America"	https://www.ncbi.nlm.nih.gov/nuccore/MH819469	45.467548	-73.652573	node_1235	12	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.7	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7
KX547210	2001-08-17	USA	NY	NY/Nassau	USA	Culex	Mosquitoes-Culex	Ia	NY99	I.a.4-NY99	KX547210	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547210	40.6546	-73.5594	node_4514	3	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
OM202908	2018-XX-XX	USA	USA	USA/USA	Unknown	Homo sapiens	Mammals-Human	?	?	I.a.4-NY99	OM202908.1	US Food and Drug Administration Center for Devices and Radiological Health	NCBI_Global	Rios et al	Unpublished	FDA dAtabase for Regulatory Grade micrObial Sequences (FDA-ARGOS): Supporting development and validation of Infectious Disease Dx tests	https://www.ncbi.nlm.nih.gov/nuccore/OM202908	37.0902	-95.7129	node_1761	30	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1
JN183893	?	Unknown	Unknown	Unknown	Global	Gallus gallus	Birds-Landfowls	Ia	?	I.a.4-NY99	JN183893.1	Broad Institute of MIT and Harvard	NCBI_Global	Henn et al	"Submitted (23-JUN-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JN183893	Unknown	Unknown	node_827	1	I.a.4-NY99	New	I.a.4-NY99.1.1	I.a.4-NY99	I.a.4-NY99.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1	I.a.4-NY99.1.1
OQ721165	2017-09-18	USA	IA	IA/IA	USA	Culex restuans	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721165.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721165	42.032974	-93.581543	node_1790	18	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.3.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1.3	I.a.4-NY99.WN02.1.3.1.3	I.a.4-NY99.WN02.1.3.1.3
KJ501285	2002-XX-XX	USA	WI	WI/WI	USA	Pelecanus	Birds-Seabirds	Ia	WN02	I.a.4-NY99.WN02	KJ501285|2002|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501285	44.4308975	-89.6884636	node_1283	7	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.5	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.5	I.a.4-NY99.WN02.5	I.a.4-NY99.WN02.5	I.a.4-NY99.WN02.5	I.a.4-NY99.WN02.5	I.a.4-NY99.WN02.5
W362	2005-07-06	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	W362	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_2618	0	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W512	2008-08-11	USA	CA	CA/CA	USA	Unknown	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	W512	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_3465	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99.WN02.2.3.1
W1299	2017-07-31	USA	LA	LA/St. Tammany	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1299_2017-07-31_USA_LA_StTammany_x_x	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	30.4357418	-89.9253233	node_2346	37	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1.5	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1.5	I.a.4-NY99.WN02.3.1.5	I.a.4-NY99.WN02.3.1.5	I.a.4-NY99.WN02.3.1.5
W1338	2018-07-25	USA	LA	LA/Caddo	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1338_2018-07-25_USA_LA_Caddo_x_x	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	32.7565316	-93.9737925	node_2121	14	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4
KX547432	2006-08-10	USA	NY	NY/Suffolk	USA	Coquillettidia	Mosquitoes-Coquillettidia	Ia	WN02	I.a.4-NY99.WN02	KX547432	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547432	40.9849	-72.6151	node_4337	0	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W585	2016-02-28	USA	CA	CA/CA	USA	Unknown	Birds-Perching Birds	Ia	SW03	I.a.4-NY99.WN02.SW03	W585	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_2509	1	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.1	I.a.4-NY99.SW03.1.1.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
OQ721398	2009-01-16	USA	CA	CA/CA	USA	Corvus brachyrhynchos	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721398.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721398	36.778259	-119.417931	node_3473	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.3.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3.1	I.a.4-NY99.WN02.2.3.1.1	I.a.4-NY99.WN02.2.3.1.1	I.a.4-NY99.WN02.2.3.1.1
MF004388	2008-09-29	USA	WI	WI/WI	USA	Homo sapiens	Mammals-Human	Ia	WN02	I.a.4-NY99.WN02	MF004388	"UMR ""Emergence des Pathologies Virales"" (EPV: Aix-Marseille Univ-IRD190-INSERM1207-EHESP-IHU Mediterranee Infection)"	NS_NA_NCBI	Baronti et al	Unpublished	Assessment of the antiviral activity of the FDA approved molecules against an extended panel of Flaviviruses	https://www.ncbi.nlm.nih.gov/nuccore/MF004388	44.4308975	-89.6884636	node_1471	17	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W349	2004-08-11	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	W349	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_2883	8	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
HM488167	2008-XX-XX	USA	CT	CT/Fairfield	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	HM488167	Broad Institute of MIT and Harvard	NS_NA_NCBI	Armstrong et al	"Virology 417 (1), 203-210 (2011)"	"Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008"	https://www.ncbi.nlm.nih.gov/pubmed/21723580	41.1408363	-73.2612615	node_1395	3	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.19	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19	I.a.4-NY99.WN02.19
W283	2006-08-30	USA	CA	CA/CA	USA	Unknown	Birds-Other	Ia	SW03	I.a.4-NY99.WN02.SW03	W283	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_2858	4	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.2	I.a.4-NY99.SW03.1.2.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W0962	2017-10-05	USA	NH	NH/Rockingham	USA	Unknown	Mosquitoes-Culiseta	Ia	WN02	I.a.4-NY99.WN02	W0962_2017-10-05_USA_NH_Rockingham_nan_nan	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	42.9931261	-71.0497768	node_1800	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1
KX394388	1974-06-01	AUS	Unknown	Unknown	Global	Culex annulirostris	Mosquitoes-Culex	Ib	kunjin	I.b.kunjin	Unknown	Forensic and Scientific Services Public and Environmental Health	Koch-WNV-Global	Huang et al	Unpublished	Archival isolates confirm a single topotype of West Nile virus in Australia	https://www.ncbi.nlm.nih.gov/nuccore/KX394388	-25.274398	133.775136	node_63	1	I.b.kunjin	New	I.b.kunjin.1	I.a	I.a.4-NY99	I.b.kunjin	I.b.kunjin.1	I.b.kunjin.1	I.b.kunjin.1	I.b.kunjin.1	I.b.kunjin.1
OQ721122	2018-08-16	USA	IL	IL/IL	USA	Culex restuans	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721122.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721122	40.0796319	-89.4339808	node_1736	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.5.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.5	I.a.4-NY99.WN02.1.5.1	I.a.4-NY99.WN02.1.5.1	I.a.4-NY99.WN02.1.5.1	I.a.4-NY99.WN02.1.5.1
W0931	2017-08-01	USA	WA	WA/Lincoln	USA	Unknown	Birds-Other	Ia	SW03	I.a.4-NY99.WN02.SW03	W0931_2017-08-01_USA_WA_Lincoln_x_x	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	47.8290456	-118.414992	node_2767	17	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.4	I.a.4-NY99.SW03.1.4.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KX547479	2005-09-07	USA	NY	NY/Suffolk	USA	Aedes sp.	Mosquitoes-Aedes	Ia	WN02	I.a.4-NY99.WN02	KX547479	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547479	40.9849	-72.6151	node_2197	3	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.21	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21
OQ721596	2020-09-02	USA	IA	IA/IA	USA	Culex restuans	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721596.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721596	42.032974	-93.581543	node_1721	9	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.5.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.5	I.a.4-NY99.WN02.1.5.2	I.a.4-NY99.WN02.1.5.2	I.a.4-NY99.WN02.1.5.2	I.a.4-NY99.WN02.1.5.2
JF920734	2006-XX-XX	USA	CT	CT/CT	USA	Culex restuans	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	JF920734|2006|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Henn et al	"Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920734	41.599998	-72.699997	node_4433	2	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.16	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.16	I.a.4-NY99.WN02.16	I.a.4-NY99.WN02.16	I.a.4-NY99.WN02.16	I.a.4-NY99.WN02.16	I.a.4-NY99.WN02.16
HM756673	2004-XX-XX	USA	NY	NY/NY	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	HM756673|2004|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Henn et al	"Submitted (24-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM756673	40.7127	-74.0059	node_1084	6	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KX547556	2012-09-06	USA	NY	NY/Oswego	USA	Culiseta	Mosquitoes-Culiseta	Ia	WN02	I.a.4-NY99.WN02	KX547556	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547556	43.455345	-76.510498	node_2107	6	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.4	I.a.4-NY99.WN02.1.4.4	I.a.4-NY99.WN02.1.4.4	I.a.4-NY99.WN02.1.4.4
KJ501176	2008-XX-XX	USA	USA	USA/USA	Unknown	Culex tarsalis	Mosquitoes-Culex	?	?	I.a.4-NY99	KJ501176.1	Broad Institute of MIT & Harvard	NCBI_Global	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501176	37.0902	-95.7129	node_3971	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.9	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99.WN02.2.9.1	I.a.4-NY99.WN02.2.9.1
KJ501291	2002-XX-XX	USA	DC	DC/Washington DC	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KJ501291|2002|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501291	38.9071923	-77.0368707	node_4417	2	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.22	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22
MH166908	2005-XX-XX	USA	VA	VA/Virginia	USA	Culicidae	Mosquitoes	Ia	WN02	I.a.4-NY99.WN02	MH166908.1	University of Texas Medical Branch Microbiology and Immunology	NS_NA_NCBI	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	"Terrestrial Bird Migration and West Nile Virus Circulation, United States"	https://www.ncbi.nlm.nih.gov/nuccore/MH166908	37.1232245	-78.492772	node_4333	4	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
MT968006	2017-XX-XX	USA	USA	USA/USA	Unknown	Culicidae	Mosquitoes	?	?	I.a.4-NY99	MT968006.1	Wadsworth Center Division of Infectious Diseases	NCBI_Global	Caldwell et al	"Genes (Basel) 11 (11), E1299 (2020)"	Divergent Mutational Landscapes of Consensus and Minority Genotypes of West Nile Virus Demonstrate Host and Gene-Specific Evolutionary Pressures	https://www.ncbi.nlm.nih.gov/pubmed/33143358	37.0902	-95.7129	node_1796	11	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.3.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1.3	I.a.4-NY99.WN02.1.3.1.3	I.a.4-NY99.WN02.1.3.1.3
OL840882	2020-09-XX	GRC	Unknown	GRC	Global	Homo sapiens	Mammals-Human	?	?	II	OL840882.1	Aristotle University of Thessaloniki A' Dept. of Microbiology	NCBI_Global	Papa et al	"Submitted (11-DEC-2021) A' Dept. of Microbiology, Aristotle University of Thessaloniki, Medical School, Thessaloniki 54124, Greece"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/OL840882	39.074208	21.824312	node_441	12	II	New	II.1.2.2	I.a	I.a.4-NY99	II	II.1	II.1.2	II.1.2.2	II.1.2.2	II.1.2.2
KJ501398	2004-XX-XX	USA	CA	CA/CA	USA	Pelecanus occidentalis	Birds-Seabirds	Ia	SW03	I.a.4-NY99.WN02.SW03	KJ501398|2004|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501398	36.778259	-119.417931	node_2553	5	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W064	2014-08-13	USA	CA	CA/CA	USA	Unknown	Birds-Other	Ia	SW03	I.a.4-NY99.WN02.SW03	W064	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_2480	1	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.1	I.a.4-NY99.SW03.1.1.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
AY278442	?	RUS	Volgograd	Volgograd/Volgograd	Global	Unknown	Unknown	Ia	?	I.a.2	AY278442.1	Ivanovsky Virology Institute Molecular Genetic	NCBI_Global	Sadykova et al	Unpublished	Analysis of a new variants of West Nile virus	https://www.ncbi.nlm.nih.gov/nuccore/AY278442	61.52401	105.318756	node_647	5	I.a.2		I.a.4-NY99	I.a	I.a.2	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
MW835352	2008-XX-XX	ITA	Unknown	ITA	Global	Equus asinus	Mammals-Donkey	?	?	I.a	MW835352.1	Istituto Zooprofilattico Sperimentale Dell'abruzzo E del Molise 'G. Caporale' Animals Foreign Diseases	NCBI_Global	Monaco et al	"Submitted (30-MAR-2021) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale Dell'abruzzo E del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/MW835352	41.87194	12.56738	node_687	1	I.a.2		I.a.4-NY99	I.a	I.a.2	I.a.2.1	I.a.2.1.3	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
W0918	2013-08-01	USA	US-VI	US-VI/Virgin Islands	USA	Unknown	Birds-Other	Ia	WN02	I.a.4-NY99.WN02	W0918_2013-08-01_USA_VirginIslands_x_x_x	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	17.789187	-64.7080574	node_2087	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4
KJ501128	2004-XX-XX	USA	CA	CA/CA	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	KJ501128|2004|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501128	36.778259	-119.417931	node_2878	1	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
