KX547408,2004-09-13,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547408,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547407,2009-08-27,USA,NY,Suffolk,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547407,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547406,2009-09-25,USA,NY,Nassau,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547406,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547405,2003-08-09,USA,NY,Tompkins,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547405,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.4576,-76.5488
KX547404,2008-08-18,USA,NY,Albany,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547404,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.65258,-73.756233
KX547403,2004-05-20,USA,NY,Onondaga,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547403,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.0268,-76.1784
KX547402,2002-09-18,USA,NY,Onondaga,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547402,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.0268,-76.1784
KX547401,2008-09-16,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547401,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547400,2006-08-30,USA,NYC,Queens,NYC,Passer domesticus,Birds-Perching Birds,1a,WN02,KX547400,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.742054,-73.769417
KX547399,2007-09-06,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547399,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547398,2002-08-23,USA,NY,Madison,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547398,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.8989583,-75.5121217
KX547397,2005-08-30,USA,NY,Rensselaer,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547397,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.644516,-73.747253
KX547396,2005-09-16,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547396,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547395,2000-08-31,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,NY99,KX547395,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547394,2006-08-01,USA,NY,Suffolk,NY,Coquillettidia,Mosquitoes-Coquillettidia,1a,WN02,KX547394,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547393,2002-08-06,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,NY99,KX547393,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547392,2007-08-08,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547392,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547391,2010-08-25,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547391,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547390,2004-08-29,USA,NY,Genesee,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547390,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.00093,-78.19371
KX547389,2012-09-07,USA,NY,Suffolk,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547389,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547388,2010-08-26,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547388,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547387,2006-08-22,USA,NY,Chautauqua,NY,Aedes sp.,Mosquitoes-Aedes,1a,SW03,KX547387,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.209869,-79.470428
KX547386,2000-07-21,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,NY99,KX547386,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547385,2006-07-27,USA,NYC,Staten Island,NYC,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547385,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.579021,-74.151535
KX547384,2006-08-07,USA,NYC,Staten Island,NYC,Haemorhous mexicanus,Birds-Perching Birds,1a,WN02,KX547384,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.579021,-74.151535
KX547383,2002-10-04,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547383,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547382,2007-08-24,USA,NYC,Staten Island,NYC,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547382,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.579021,-74.151535
KX547381,2003-10-03,USA,NY,Putnam,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547381,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.4351,-73.7949
KX547380,2012-07-11,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547380,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547379,2004-09-28,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547379,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547378,2002-09-11,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,NY99,KX547378,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547377,2005-07-21,USA,NY,Nassau,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547377,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547376,2010-09-16,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547376,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547375,2011-09-08,USA,NY,Oswego,NY,Culiseta,Mosquitoes-Culiseta,1a,SW03,KX547375,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547374,2002-08-23,USA,NY,Orange,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547374,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.3912,-74.3118
KX547373,2009-09-30,USA,NY,Niagara,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547373,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.3119,-78.7476
KX547372,2009-08-13,USA,NY,Suffolk,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547372,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547371,2007-09-20,USA,NY,Jefferson,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547371,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,44.0607,-75.9928
KX547370,2005-08-30,USA,NY,Dutchess,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547370,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.76515,-73.74286
KX547369,2011-08-25,USA,NY,Westchester,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547369,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1508,-73.7543
KX547368,2009-08-28,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547368,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547367,2006-07-21,USA,NYC,Staten Island,NYC,Passer domesticus,Birds-Perching Birds,1a,WN02,KX547367,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.579021,-74.151535
KX547366,2005-08-10,USA,NYC,Bronx,NYC,Haemorhous mexicanus,Birds-Perching Birds,1a,WN02,KX547366,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.837048,-73.865433
KX547365,2008-07-30,USA,NY,Suffolk,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547365,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547364,2002-09-13,USA,NY,Rockland,NY,Aedes sp.,Mosquitoes-Aedes,1a,WN02,KX547364,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547363,2003-08-13,USA,NY,Onondaga,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547363,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.0268,-76.1784
KX547362,2005-08-31,USA,NY,Dutchess,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547362,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.76515,-73.74286
KX547361,2010-08-12,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,SW03,KX547361,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547360,2005-09-11,USA,NY,Putnam,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547360,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.4351,-73.7949
KX547359,2006-08-14,USA,NY,Nassau,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547359,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547358,2013-09-20,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547358,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547357,2007-08-07,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547357,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547356,2012-08-07,USA,NY,Oswego,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547356,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547355,2005-09-13,USA,NY,Albany,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547355,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.65258,-73.756233
KX547354,2003-10-03,USA,NY,Schoharie,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547354,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.58819811,-74.4420841
KX547353,2000-07-11,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,NY99,KX547353,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547352,2008-08-14,USA,NY,Orange,NY,Culex,Mosquitoes-Culex,1a,SW03,KX547352,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.3912,-74.3118
KX547351,2004-08-04,USA,NY,Nassau,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547351,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547350,2006-07-28,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547350,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547349,2006-08-31,USA,NY,Westchester,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547349,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1508,-73.7543
KX547348,2009-08-14,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547348,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547347,2005-05-25,USA,NY,Monroe,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,SW03,KX547347,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.3307,-74.1868
KX547346,2004-06-18,USA,NY,Albany,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547346,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.65258,-73.756233
KX547345,2004-08-11,USA,NY,Rockland,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547345,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547344,2013-07-24,USA,NY,Oswego,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547344,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547343,2012-08-08,USA,NY,Erie,NY,Aedes sp.,Mosquitoes-Aedes,1a,WN02,KX547343,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547342,2006-08-10,USA,NY,Orange,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547342,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.3912,-74.3118
KX547341,2005-01-31,USA,NY,Dutchess,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547341,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.76515,-73.74286
KX547340,2012-08-16,USA,NY,Orange,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547340,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.3912,-74.3118
KX547339,2007-09-11,USA,NY,Suffolk,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547339,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547338,2005-09-09,USA,NYC,Staten Island,NYC,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547338,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.579021,-74.151535
KX547337,2012-09-28,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547337,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547336,2002-09-09,USA,NY,Essex,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547336,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,44.010741,-73.950773
KX547335,2008-08-05,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547335,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547334,2012-06-18,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547334,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547333,2013-10-09,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547333,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547332,2005-08-08,USA,NYC,Bronx,NYC,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547332,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.837048,-73.865433
KX547331,2002-09-26,USA,NY,Oswego,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547331,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547330,2013-09-18,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547330,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547329,2007-08-24,USA,NYC,Staten Island,NYC,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547329,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.579021,-74.151535
KX547328,2013-07-03,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547328,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547327,2006-08-24,USA,NY,Niagara,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547327,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.3119,-78.7476
KX547326,2007-08-01,USA,NY,Nassau,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547326,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547325,2011-09-20,USA,NY,Onondaga,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547325,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.0268,-76.1784
KX547324,2013-08-14,USA,NY,Oswego,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547324,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547323,2013-07-31,USA,NY,Westchester,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547323,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1508,-73.7543
KX547322,2003-08-19,USA,NY,Onondaga,NY,Culiseta,Mosquitoes-Culiseta,1a,NY99,KX547322,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.0268,-76.1784
KX547321,2005-09-07,USA,NY,Rockland,NY,Baeolophus bicolor,Birds-Perching Birds,1a,WN02,KX547321,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547320,2002-09-17,USA,NY,Suffolk,NY,Cyanocitta cristata,Birds-Perching Birds,1a,NY99,KX547320,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547319,2009-09-07,USA,NY,Rensselaer,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547319,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.644516,-73.747253
KX547318,2006-08-19,USA,NY,Niagara,NY,Cyanocitta cristata,Birds-Perching Birds,1a,SW03,KX547318,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.3119,-78.7476
KX547317,2004-07-27,USA,NY,Nassau,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547317,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547316,2001-09-13,USA,NY,Westchester,NY,Culex,Mosquitoes-Culex,1a,NY99,KX547316,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1508,-73.7543
KX547315,2012-08-24,USA,NY,Nassau,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547315,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547314,2002-09-27,USA,NY,Broome,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547314,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.1792,75.8534
KX547313,2004-08-03,USA,NY,Oswego,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547313,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547312,2004-05-20,USA,NY,Niagara,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547312,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.3119,-78.7476
KX547311,2003-09-25,USA,NY,Albany,NY,Sciurus carolinensis,Mammals-Rodents,1a,WN02,KX547311,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.65258,-73.756233
KX547310,2003-08-26,USA,NY,Westchester,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547310,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1508,-73.7543
KX547309,2008-08-14,USA,NY,Suffolk,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547309,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547308,2004-09-30,USA,NYC,Bronx,NYC,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547308,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.837048,-73.865433
KX547307,2005-08-15,USA,NYC,Bronx,NYC,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547307,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.837048,-73.865433
KX547306,2009-09-02,USA,NY,Westchester,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547306,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1508,-73.7543
KX547305,2002-08-25,USA,NY,Albany,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547305,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.65258,-73.756233
KX547304,2004-09-02,USA,NY,Ulster,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547304,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.8586,-74.3118
KX547303,2005-07-27,USA,NY,Westchester,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547303,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1508,-73.7543
KX547302,2004-08-04,USA,NY,Broome,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547302,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.1792,75.8534
KX547301,2002-09-10,USA,NY,Onondaga,NY,Culiseta,Mosquitoes-Culiseta,1a,NY99,KX547301,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.0268,-76.1784
KX547300,2009-08-17,USA,NY,Ulster,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547300,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.8586,-74.3118
KX547299,2002-08-25,USA,NY,Otsego,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547299,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.63376,-75.03261
KX547298,2004-08-03,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547298,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547297,2007-08-06,USA,NY,Orleans,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547297,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.2507,-78.18901
KX547296,2004-05-11,USA,NY,Columbia,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547296,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.25008,-73.63185
KX547295,2011-08-24,USA,NY,Nassau,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547295,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547294,2010-09-30,USA,NY,Rockland,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547294,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.1489,-73.983
KX547293,2011-08-24,USA,NY,Oswego,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547293,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547292,2009-09-16,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547292,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547291,2012-08-14,USA,NY,Onondaga,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547291,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.0268,-76.1784
KX547290,2007-08-13,USA,NY,Schenectady,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547290,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.813297,-73.941177
KX547289,2005-10-05,USA,NY,Cortland,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547289,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.604729,-76.18737
KX547288,2003-07-27,USA,NY,Broome,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547288,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.1792,75.8534
KX547287,2003-09-29,USA,NYC,Manhattan,NYC,Passer domesticus,Birds-Perching Birds,1a,WN02,KX547287,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.776676,-73.971321
KX547286,2015-09-03,USA,NY,Chautauqua,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547286,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.209869,-79.470428
KX547285,2004-08-16,USA,NYC,Bronx,NYC,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547285,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.837048,-73.865433
KX547284,2008-08-15,USA,NY,Niagara,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547284,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.3119,-78.7476
KX547283,2012-08-30,USA,NY,Nassau,NY,Aedes sp.,Mosquitoes-Aedes,1a,WN02,KX547283,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
KX547282,2004-09-07,USA,NY,Orleans,NY,Cyanocitta cristata,Birds-Perching Birds,1a,SW03,KX547282,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.2507,-78.18901
KX547281,2004-06-04,USA,NY,Cortland,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547281,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.604729,-76.18737
KX547280,2012-09-10,USA,NY,Oswego,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547280,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547279,2010-07-08,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547279,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547278,2012-09-17,USA,NY,Albany,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547278,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.65258,-73.756233
KX547277,2004-09-23,USA,NY,Orange,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547277,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,41.3912,-74.3118
KX547276,2011-07-18,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547276,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547275,2004-09-03,USA,NY,Jefferson,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547275,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,44.0607,-75.9928
KX547274,2013-09-05,USA,NY,Madison,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547274,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.8989583,-75.5121217
KX547273,2006-07-31,USA,NY,Erie,NY,Culex,Mosquitoes-Culex,1a,SW03,KX547273,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7582309,-78.77963378
KX547272,2001-08-07,USA,NY,Suffolk,NY,Culex,Mosquitoes-Culex,1a,NY99,KX547272,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.9849,-72.6151
KX547271,2006-08-12,USA,NY,Seneca,NY,Cyanocitta cristata,Birds-Perching Birds,1a,WN02,KX547271,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.7652,-76.8721
KX547270,2006-08-23,USA,NY,Albany,NY,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KX547270,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,42.65258,-73.756233
KX547269,2013-08-23,USA,NY,Oswego,NY,Culiseta,Mosquitoes-Culiseta,1a,WN02,KX547269,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,43.455345,-76.510498
KX547268,2006-08-09,USA,NY,Nassau,NY,Culex,Mosquitoes-Culex,1a,WN02,KX547268,J. Craig Venter Institute,NS_NA_NCBI,Shabman et al,40.6546,-73.5594
